"Ecatalogue_orderno","Ecatalogue_orderDate","Customer_Code","Shipping_point","line_no","Item_Code","Item_Variant","Quantity","Remarks"
"83964","2020-10-11 06:58:39.663016","2","","1","1275100","AMI","1",""
"83964","2020-10-11 06:58:39.663016","2","","1","U061272H","ALP","1",""
"83964","2020-10-11 06:58:39.663016","2","","1","U051272H","ALP","1",""
