"Ecatalogue_orderno","Ecatalogue_orderDate","Customer_Code","Shipping_point","line_no","Item_Code","Item_Variant","Quantity","Remarks"
"FGQY9W3EHXDLCVK41MGS8NPTZU267OB5AIR","2020-09-19 05:18:16.178194","2","","1","1306100","AMI","1",""
"FGQY9W3EHXDLCVK41MGS8NPTZU267OB5AIR","2020-09-19 05:18:16.178194","2","","1","1307100","AMI","1",""
"FGQY9W3EHXDLCVK41MGS8NPTZU267OB5AIR","2020-09-19 05:18:16.178194","2","","1","U051272H","ALP","1",""
"FGQY9W3EHXDLCVK41MGS8NPTZU267OB5AIR","2020-09-19 05:18:16.178194","2","","1","U061272H","ALP","1",""
