S.NO.,CODE,Noman,PART NUMBER,PARTICULAR,SECTION,C.H. Ø (mm) & POSITION,S.H DETAIL (mm),Sub-Cateogry,Brand,SPECIAL Category,POSITION,Type,Leaf Type Code,Vehicle Maker,vehicle code,Sub_seg_desc,Sub_seg_code,Lens in inches,DBP ,MRP,ML - DBP(Rs),Length (Inches),Image,2P - DBP(Rs),Length (Inches),Image,3 - DBP(Rs),Length (Inches),Image,4 - DBP(Rs),Length (Inches),Image,5 - DBP(Rs),Length (Inches),Image,6 - DBP(Rs),Length (Inches),Image,7 - DBP(Rs),Length (Inches),Image,8 - DBP(Rs),Length (Inches),Image,9 - DBP(Rs),Length (Inches),Image,10 - DBP(Rs),Length (Inches),Image,11 - DBP(Rs),Length (Inches),Image,12 - DBP(Rs),Length (Inches),Image,13 - DBP(Rs),Length (Inches),Image,14 - DBP(Rs),Length (Inches),Image,AA - DBP(Rs),Length (Inches),Image,AB - DBP(Rs),Length (Inches),Image,3A - DBP(Rs),Length (Inches),Image,4A - DBP(Rs),Length (Inches),Image,L1W - DBP(Rs),Length (Inches),Image,L2W - DBP(Rs),Length (Inches),Image,ASSY - DBP(Rs),,,15/L,Length (Inches),Image,16/L,Length (Inches),Image,17/L,Length (Inches),Image,18/L,Length (Inches),Image,19/L,Length (Inches),Image,2/L,Length (Inches),Image,20/L,Length (Inches),Image,HELPER SPL,Length (Inches),Image,PP,Length (Inches),Image,SPL LEAF,Length (Inches),Image
11,002205,0022,48220-B010/48210-B120, QUALIS (RR),60X16,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,5/L,5,TOYOTA,25,MUV,4,22.64,650,980,0,0,,0,0,,0,0,,0,0,,650,22.63779528,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
12,002231,0022,48220-B010/48210-B120, QUALIS (RR),60X7,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,AUX A,3,TOYOTA,25,MUV,4,49.41,640,970,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,640,49.40944882,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
13,002231N,0022N,48220-B010/48210-B120, QUALIS (RR),60X7,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,AUX A,3,TOYOTA,25,MUV,4,49.41,640,970,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,640,49.40944882,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
14,002301,0023,,QUALIS (H) M/L AMI,60X6,0,0,TOYOTA,TOYOTA,,3,M/L,5,TOYOTA,25,MUV,4,0.00,650,980,650,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
15,002301N,0023N,,QUALIS (H) NEW MODEL M/L AMI,60X16,0,0,TOYOTA,TOYOTA,,3,M/L,5,TOYOTA,25,MUV,4,0.00,660,1000,660,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
16,003201,0032,97599716,TAVERA (RR),60X7,8.5 OFFSET,"3/L BOTH SIDE Ø 8.5, M/L HL   ONE SIDE Ø 10.5 ",TOYOTA,TOYOTA,,2,M/L,5,TOYOTA,25,MUV,4,56.93,750,1140,750,56.92913386,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
17,003202,0032,97599716,TAVERA (RR),60X7,8.5 OFFSET,"3/L BOTH SIDE Ø 8.5, M/L HL   ONE SIDE Ø 10.5 ",TOYOTA,TOYOTA,,2,2/L,5,TOYOTA,25,MUV,4,45.47,590,890,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,590,45.47244094,,0,0,,0,0,,0,0,,0,0,
18,003203,0032,97599716,TAVERA (RR),60X7,8.5 OFFSET,"3/L BOTH SIDE Ø 8.5, M/L HL   ONE SIDE Ø 10.5 ",TOYOTA,TOYOTA,,2,3/L,5,TOYOTA,25,MUV,4,35.83,470,710,0,0,,0,0,,470,35.82677165,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
19,003204,0032,97599716,TAVERA (RR),60X7,8.5 OFFSET,"3/L BOTH SIDE Ø 8.5, M/L HL   ONE SIDE Ø 10.5 ",TOYOTA,TOYOTA,,2,4/L,5,TOYOTA,25,MUV,4,29.72,370,560,0,0,,0,0,,0,0,,370,29.72440945,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
20,003205,0032,97599716,TAVERA (RR),60X16.5,8.5 OFFSET,"3/L BOTH SIDE Ø 8.5, M/L HL   ONE SIDE Ø 10.5 ",TOYOTA,TOYOTA,,2,5/L,5,TOYOTA,25,MUV,4,21.97,540,820,0,0,,0,0,,0,0,,0,0,,540,21.96850394,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
