S.NO.,CODE,Noman,PART NUMBER,PARTICULAR,SECTION,C.H. Ø (mm) & POSITION,S.H DETAIL (mm),Sub-Cateogry,Brand,SPECIAL Category,POSITION,Type,Leaf Type Code,Vehicle Maker,vehicle code,Sub_seg_desc,Sub_seg_code,Lens in inches,DBP ,MRP,ML - DBP(Rs),Length (Inches),Image,2P - DBP(Rs),Length (Inches),Image,3 - DBP(Rs),Length (Inches),Image,4 - DBP(Rs),Length (Inches),Image,5 - DBP(Rs),Length (Inches),Image,6 - DBP(Rs),Length (Inches),Image,7 - DBP(Rs),Length (Inches),Image,8 - DBP(Rs),Length (Inches),Image,9 - DBP(Rs),Length (Inches),Image,10 - DBP(Rs),Length (Inches),Image,11 - DBP(Rs),Length (Inches),Image,12 - DBP(Rs),Length (Inches),Image,13 - DBP(Rs),Length (Inches),Image,14 - DBP(Rs),Length (Inches),Image,AA - DBP(Rs),Length (Inches),Image,AB - DBP(Rs),Length (Inches),Image,3A - DBP(Rs),Length (Inches),Image,4A - DBP(Rs),Length (Inches),Image,L1W - DBP(Rs),Length (Inches),Image,L2W - DBP(Rs),Length (Inches),Image,ASSY - DBP(Rs),,,15/L,Length (Inches),Image,16/L,Length (Inches),Image,17/L,Length (Inches),Image,18/L,Length (Inches),Image,19/L,Length (Inches),Image,2/L,Length (Inches),Image,20/L,Length (Inches),Image,HELPER SPL,Length (Inches),Image,PP,Length (Inches),Image,SPL LEAF,Length (Inches),Image
204,019204N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,4/L,5,TATA,24,HCV & MCV,5,51.18,1150,1740,0,0,,0,0,,0,0,,1150,51.18110236,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
205,019205,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,5/L,5,TATA,24,HCV & MCV,5,42.72,970,1470,0,0,,0,0,,0,0,,0,0,,970,42.71653543,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
206,019205H,0192,2573 3240 0101,1210 SE(RR),80X8,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,5/L,5,TATA,24,HCV & MCV,5,59.25,870,1320,0,0,,0,0,,0,0,,0,0,,870,59.2519685,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
207,019205N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,5/L,5,TATA,24,HCV & MCV,5,42.72,960,1450,0,0,,0,0,,0,0,,0,0,,960,42.71653543,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
208,019206,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,6/L,5,TATA,24,HCV & MCV,5,37.40,870,1320,0,0,,0,0,,0,0,,0,0,,0,0,,870,37.4015748,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
209,019206N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,6/L,5,TATA,24,HCV & MCV,5,37.40,850,1290,0,0,,0,0,,0,0,,0,0,,0,0,,850,37.4015748,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
210,019207,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,7/L,5,TATA,24,HCV & MCV,5,32.09,720,1090,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,720,32.08661417,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
211,019207N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,7/L,5,TATA,24,HCV & MCV,5,32.09,720,1090,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,720,32.08661417,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
212,019208,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,8/L,5,TATA,24,HCV & MCV,5,26.77,600,910,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,600,26.77165354,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
213,019208N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,8/L,5,TATA,24,HCV & MCV,5,26.77,600,910,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,600,26.77165354,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
214,019209,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,9/L,5,TATA,24,HCV & MCV,5,21.46,490,740,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,490,21.45669291,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
215,019209N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,9/L,5,TATA,24,HCV & MCV,5,21.46,490,740,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,490,21.45669291,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
216,01920EE,0192E,2573 3240 0101,1210 SE(RR),0X0,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,ASSY.,2,TATA,24,HCV & MCV,5,0.00,14160,21450,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,14160,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
217,01920HH,0192,2573 3240 0101,1210 SE(RR),0X0,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,ASSY.,2,TATA,24,HCV & MCV,5,0.00,19500,29540,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,19500,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
218,019210,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,10/L,5,TATA,24,HCV & MCV,5,16.14,370,560,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,370,16.14173228,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
219,019210N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,10/L,5,TATA,24,HCV & MCV,5,16.14,370,560,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,370,16.14173228,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
220,019211,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,11/L,5,TATA,24,HCV & MCV,5,10.83,230,350,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,230,10.82677165,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
221,019211N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,11/L,5,TATA,24,HCV & MCV,5,10.83,230,350,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,230,10.82677165,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
222,01922MP,0192M,2573 3240 0101,1210 SE(RR),80X16,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,2/L,5,TATA,24,HCV & MCV,5,69.69,1900,2880,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,1900,69.68503937,,0,0,,0,0,,0,0,,0,0,
223,019231,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,AUX A,3,TATA,24,HCV & MCV,5,63.62,1550,2350,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1550,63.62204724,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
224,019231N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,AUX A,3,TATA,24,HCV & MCV,5,63.62,1510,2290,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1510,63.62204724,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
225,019232,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,AUX B,3,TATA,24,HCV & MCV,5,59.96,1440,2180,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1440,59.96062992,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
226,019232N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,AUX B,3,TATA,24,HCV & MCV,5,59.96,1410,2140,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1410,59.96062992,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
227,019233,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,AUX 3A,3,TATA,24,HCV & MCV,5,62.01,1470,2230,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1470,62.00787402,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
228,019233N,0192N,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,AUX 3A,3,TATA,24,HCV & MCV,5,62.01,1490,2260,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1490,62.00787402,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
229,019253,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,SPL LEAF,5,TATA,24,HCV & MCV,5,52.99,1220,1850,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1220,52.99212598,
230,019262,0192,2573 3240 0101,1210 SE(RR),80X13,12.5   CENTRE,4/L AND 6/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,2,SPL LEAF,5,TATA,24,HCV & MCV,5,62.01,1490,2260,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1490,62.00787402,
231,019300,0193,2573 3240 0101,1210 SE(H),0X0,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,ASSY.,2,TATA,24,HCV & MCV,5,0.00,3960,6000,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3960,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
232,019300B,0193,2573 3240 0101,1210 SE(H),0X0,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,ASSY.,2,TATA,24,HCV & MCV,5,0.00,6610,10010,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6610,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
233,019300E,0193E,2573 3240 0101,1210 SE(H),0X0,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,ASSY.,2,TATA,24,HCV & MCV,5,0.00,6910,10470,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6910,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
234,019301,0193,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,M/L,5,TATA,24,HCV & MCV,5,47.44,1130,1710,1130,47.44094488,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
235,019301H,0193,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,M/L,5,TATA,24,HCV & MCV,5,51.18,1150,1740,1150,51.18110236,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
236,019301M,0193M,2573 3240 0101,1210 SE(H),80X16,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,M/L,5,TATA,24,HCV & MCV,5,47.44,1300,1970,1300,47.44094488,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
237,019301N,0193N,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,M/L,5,TATA,24,HCV & MCV,5,47.44,1120,1700,1120,47.44094488,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
238,019301S,0193S,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,M/L,5,TATA,24,HCV & MCV,5,47.44,1100,1670,1100,47.44094488,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
239,019302,0193,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,2/L,5,TATA,24,HCV & MCV,5,47.44,1100,1670,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,1100,47.44094488,,0,0,,0,0,,0,0,,0,0,
240,019302M,0193M,2573 3240 0101,1210 SE(H),80X16,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,2/L,5,TATA,24,HCV & MCV,5,47.44,1320,2000,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,1320,47.44094488,,0,0,,0,0,,0,0,,0,0,
241,019302N,0193N,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,2/L,5,TATA,24,HCV & MCV,5,47.44,1130,1710,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,1130,47.44094488,,0,0,,0,0,,0,0,,0,0,
242,019303,0193,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,3/L,5,TATA,24,HCV & MCV,5,31.50,720,1090,0,0,,0,0,,720,31.49606299,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
243,019303M,0193M,2573 3240 0101,1210 SE(H),80X16,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,3/L,5,TATA,24,HCV & MCV,5,31.50,870,1320,0,0,,0,0,,870,31.49606299,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
244,019303N,0193N,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,3/L,5,TATA,24,HCV & MCV,5,31.50,720,1090,0,0,,0,0,,720,31.49606299,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
245,019304,0193,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,4/L,5,TATA,24,HCV & MCV,5,22.44,490,740,0,0,,0,0,,0,0,,490,22.44094488,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
246,019304M,0193M,2573 3240 0101,1210 SE(H),80X16,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,4/L,5,TATA,24,HCV & MCV,5,22.44,610,920,0,0,,0,0,,0,0,,610,22.44094488,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
247,019304N,0193N,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,4/L,5,TATA,24,HCV & MCV,5,22.44,490,740,0,0,,0,0,,0,0,,490,22.44094488,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
248,019305,0193,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,5/L,5,TATA,24,HCV & MCV,5,15.35,350,530,0,0,,0,0,,0,0,,0,0,,350,15.35433071,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
249,019305M,0193M,2573 3240 0101,1210 SE(H),80X16,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,5/L,5,TATA,24,HCV & MCV,5,15.35,420,640,0,0,,0,0,,0,0,,0,0,,420,15.35433071,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
250,019305N,0193N,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,5/L,5,TATA,24,HCV & MCV,5,15.35,350,530,0,0,,0,0,,0,0,,0,0,,350,15.35433071,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
251,019331,0193,2573 3240 0101,1210 SE(H),80X13,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,AUX A,3,TATA,24,HCV & MCV,5,43.31,1000,1520,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1000,43.30708661,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
252,019331M,0193M,2573 3240 0101,1210 SE(H),80X16,12.5   CENTRE,3/L  BOTH SIDE Ø 8.5   ,TATA,TATA,,3,AUX A,3,TATA,24,HCV & MCV,5,43.31,1190,1800,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1190,43.30708661,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
