name,item_code,variant,item_description,category,subcategory,segment,subsegment,leaftype,leaftype,leaf_desc,leafposition,vehicle,vechiclemodel,drawing_refno,mrp1,mrp2,mrp3,mrp4,mrp5,dbp1,dbp2,dbp3,dbp4,dbp5,status,priority,substitute,weight,length,section,ch_detail,sh_detail,item_weight,suitableFor,image
M&M LOADKING CRX Rear PART NO. 0402AA1490N AUX-B,400232,AMI,M&M LOADKING CRX Rear PART NO. 0402AA1490N AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,ASSEMBLY,AUX-B,Rear,MAHINDRA,LOADKING CRX,0402AA1490N,1150,840,0,0,0,1150,840,0,0,0,1,3,,6.426,43.31,,,,,,
DICV Front SPRING - CONST APPLA400 320 02 02 M/L,464101,AMI,DICV Front SPRING - CONST APPLA400 320 02 02 M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,M/L,Front,DICV,DICV,A40032002O2,2480,1820,0,0,0,2480,1820,0,0,0,1,3,,9.85,62.28,,,,,,
DICV Front SPRING - CONST APPLA400 320 02 02 AUX-A,464131,AMI,DICV Front SPRING - CONST APPLA400 320 02 02 AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX-A,Front,DICV,DICV,A40032002O2,1650,1210,0,0,0,1650,1210,0,0,0,1,3,,8.09,51.18,,,,,,
DICV Front SPRING - CONST APPLA400 320 02 02 AUX-B,464132,AMI,DICV Front SPRING - CONST APPLA400 320 02 02 AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX-B,Front,DICV,DICV,A40032002O2,1550,1130,0,0,0,1550,1130,0,0,0,1,3,,7.47,47.24,,,,,,
DOST RIGID AXLE Rear SPRING 2/L,584202PS,AMI,DOST RIGID AXLE Rear SPRING 2/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,ASSEMBLY,2P,Rear,NISSAN,DOST,550202VA1A,1380,1010,0,0,0,1380,1010,0,0,0,1,3,,5.651,36.61,,,,,,
TATA 1210D Front LEAVES WITH 70 MAIN LEAF,018101N,AMI,TATA 1210D Front LEAVES WITH 70 MAIN LEAF,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,M/L,Front,TATA,1210,3423200902/257432100124,2050,1500,0,0,0,2050,1500,0,0,0,1,2,,11.79,68.35,,,,,,
TATA 1210D Front LEAVES WITH 70 2nd,018102N,AMI,TATA 1210D Front LEAVES WITH 70 2nd,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,2/L,Front,TATA,1210,3423200902/257432100124,1950,1430,0,0,0,1950,1430,0,0,0,1,3,,10.53,65.71,,,,,,
TATA 2416 (R) M/L,191201,AMI,TATA 2416 (R) M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,M/L,Rear,TATA,2416,2.61732E+11,2970,2180,0,0,0,2970,2180,0,0,0,1,1,,15.597,64.17,,,,,,
M&M PICKUP VAN RR 029726 5/L,64205,AMI,M&M PICKUP VAN RR 029726 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,5/L,Rear,MAHINDRA,PICKUP,29726,790,580,0,0,0,790,580,0,0,0,1,1,,3.629,31.1,,,,,,
M&M PICKUP VAN RR 029726 6/L,64206,AMI,M&M PICKUP VAN RR 029726 6/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,6/L,Rear,MAHINDRA,PICKUP,29726,650,480,0,0,0,650,480,0,0,0,1,1,,2.94,25.2,,,,,,
