name,item_code,variant,item_description,category,subcategory,segment,subsegment,leaftype,leaftype,leaf_desc,leafposition,vehicle,vechiclemodel,drawing_refno,mrp1,mrp2,mrp3,mrp4,mrp5,dbp1,dbp2,dbp3,dbp4,dbp5,status,priority,substitute,weight,length,section,ch_detail,sh_detail,item_weight,suitableFor,image
ASSY PART NO. B5F01901 E COMET 1112 SMART/912 STORONG FR 5/L,436105,AMI,ASSY PART NO. B5F01901 E COMET 1112 SMART/912 STORONG FR 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,5/L,Front,ASHOK LEYLAND,E.COMET,B5F01901,1350,990,0,0,0,1350,990,0,0,0,1,3,,7.477,37.95,,,,,,
TATA 1516/2416 (F) 7/L,193107,AMI,TATA 1516/2416 (F) 7/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,7/L,Front,TATA,1516,2.57632E+11,1200,880,0,0,0,1200,880,0,0,0,1,3,,5.575,41.89,,,,,,
MFTPL SLIDING SHACKLE RR (NEW) 6/L,270206N,AMI,MFTPL SLIDING SHACKLE RR (NEW) 6/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,6/L,Rear,MFTPL,OTHERS,64.43400.6001,4230,3100,0,0,0,4230,3100,0,0,0,1,3,,15.84,46.85,,,,,,
MARUTI  SUZUKI Rear SUPER CARRY M/L,1069201,AMI,MARUTI  SUZUKI Rear SUPER CARRY M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,MARUTI,OTHERS,,1060,780,0,0,0,1060,780,0,0,0,1,3,,4.394,55.51,,,,,,
TATA ULTRA PLUS 16 /15.3 TON TR FR M/L 5530 3210 0105 AMI,735101,AMI,TATA ULTRA PLUS 16 /15.3 TON TR FR M/L 5530 3210 0105 AMI,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,M/L,Front,TATA,OTHERS,5.53032E+11,6440,4720,0,0,0,6440,4720,0,0,0,1,3,,21.339,61.42,,,,,,
LL E COMET STRONG/SMART & 912 ST.RR B6Y01601/02 &B6Y02701/02 6/L,435206,AMI,LL E COMET STRONG/SMART & 912 ST.RR B6Y01601/02 &B6Y02701/02 6/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,6/L,Rear,ASHOK LEYLAND,E.COMET,B6Y01601/02&B6Y02701/02,1090,800,0,0,0,1090,800,0,0,0,1,3,,6.11,31.34,,,,,,
LL E COMET STRONG/SMART & 912 ST.RR B6Y01601/02 &B6Y02701/02 1WR/L,435221,AMI,LL E COMET STRONG/SMART & 912 ST.RR B6Y01601/02 &B6Y02701/02 1WR/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,1WR,Rear,ASHOK LEYLAND,E.COMET,B6Y01601/02&B6Y02701/02,2320,1700,0,0,0,2320,1700,0,0,0,1,3,,12.92,66.26,,,,,,
JEEP (R) 9/L,33209,AMI,JEEP (R) 9/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,9/L,Rear,MAHINDRA,JEEP,31700,110,80,0,0,0,110,80,0,0,0,1,3,,0.64,14.96,,,,,,
DICV Rear BOGIE 6*4 A400 320 0305 AUX-4A,460234,AMI,DICV Rear BOGIE 6*4 A400 320 0305 AUX-4A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX-4A,Rear,DICV,BOGIE,A4003200305,4180,3060,0,0,0,4180,3060,0,0,0,1,3,,19.29,51.57,,,,,,
8X4C FIRST Front AXLE PARABOLIC SPRING ASSY 3/L,650103,AMI,8X4C FIRST Front AXLE PARABOLIC SPRING ASSY 3/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,3/L,Front,DICV,DICV,A4003200701,5450,4000,0,0,0,5450,4000,0,0,0,1,3,,18.94,46.54,,,,,,
MFTPL SLIDING SHACKLE RR (NEW) 2/L,270202N,AMI,MFTPL SLIDING SHACKLE RR (NEW) 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,2/L,Rear,MFTPL,OTHERS,64.43400.6001,4820,3530,0,0,0,4820,3530,0,0,0,1,3,,21.97,64.96,,,,,,
MFTPL SLIDING SHACKLE RR (NEW) 3/L,270203N,AMI,MFTPL SLIDING SHACKLE RR (NEW) 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,3/L,Rear,MFTPL,OTHERS,64.43400.6001,4700,3440,0,0,0,4700,3440,0,0,0,1,3,,21.97,64.96,,,,,,
TATA SUMO RTV/207DI 0150 3/L,231203N,AMI,TATA SUMO RTV/207DI 0150 3/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,LP,LOOSE LEAF,LOOSE LEAF,3/L,Rear,TATA,SUMO,265432400147/265432400142,1710,1250,0,0,0,1710,1250,0,0,0,1,3,,6.43,32.87,,,,,,
TATA 1210 SE(H) 16MM 3/L,019303N,AMI,TATA 1210 SE(H) 16MM 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,3/L,Helper,TATA,1210,2.57332E+11,1090,800,0,0,0,1090,800,0,0,0,1,3,,6.248,31.5,,,,,,
LL F 4517010 FV 4921 WITH H SER M/L,304101,AMI,LL F 4517010 FV 4921 WITH H SER M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Front,ASHOK LEYLAND,OTHERS,F4517010,4260,3120,0,0,0,4260,3120,0,0,0,1,3,,22.133,78.03,,,,,,
AMW FR PART NO 251000016 4/L,288104,AMI,AMW FR PART NO 251000016 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,4/L,Front,AMW,AMW,251000016,2820,2060,0,0,0,2820,2060,0,0,0,1,3,,14.53,59.84,,,,,,
MARUTI  SUZUKI Rear SUPER CARRY 2/L,1069202,AMI,MARUTI  SUZUKI Rear SUPER CARRY 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,2/L,Rear,MARUTI,OTHERS,,920,680,0,0,0,920,680,0,0,0,1,3,,3.715,41.22,,,,,,
EICHER 11.14 FR PB -Aux-A,677131,AMI,EICHER 11.14 FR PB -Aux-A,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,LP,AUXILLIARY,LOOSE LEAF,Aux-A,Front,EICHER,EICHER,IC317334,2210,1620,0,0,0,2210,1620,0,0,0,1,3,,7.82,35.91,,,,,,
VISHAL VIKRAM RR 5/L,326205N,AMI,VISHAL VIKRAM RR 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,VISHAL VIKRAM,VISHAL VIKRAM,4365.808,230,170,0,0,0,230,170,0,0,0,1,3,,0.893,19.69,,,,,,
TATA 1613 LPT (R) 5/L SPL,252205S,AMI,TATA 1613 LPT (R) 5/L SPL,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,TATA,1613,2.78232E+11,1950,1430,0,0,0,1950,1430,0,0,0,1,3,,10.2,42.99,,,,,,
8X4C SECOND Front AXLE PARABOLIC SPRING ASSY 2/L,651102,AMI,8X4C SECOND Front AXLE PARABOLIC SPRING ASSY 2/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,2/L,Front,DICV,DICV,A4003201001,5480,4020,0,0,0,5480,4020,0,0,0,1,3,,19.1,46.93,,,,,,
TATA TRUCK 1312 12.5(H) 3/L,21303,AMI,TATA TRUCK 1312 12.5(H) 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,3/L,Helper,TATA,1312,2.57532E+11,1140,830,0,0,0,1140,830,0,0,0,1,3,,6.282,38.98,,,,,,
TATA TRUCK 1312 12.5(H) 4/L,21304,AMI,TATA TRUCK 1312 12.5(H) 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,4/L,Helper,TATA,1312,2.57532E+11,970,710,0,0,0,970,710,0,0,0,1,3,,5.177,33.27,,,,,,
JEEP FC(R) 2/L2W,282022,AMI,JEEP FC(R) 2/L2W,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,2/L2W,Rear,MAHINDRA,JEEP,31108,940,690,0,0,0,940,690,0,0,0,1,3,,5.4,58.78,,,,,,
M&M GENIO Rear DRG. NO. 042AAA02630N 3/L,353203,AMI,M&M GENIO Rear DRG. NO. 042AAA02630N 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,3/L,Rear,MAHINDRA,GENIO,0402AAA02630N,1110,810,0,0,0,1110,810,0,0,0,1,3,,5.61,42.28,,,,,,
TATA 2515 EX(70X13) F AUX-B,250132,AMI,TATA 2515 EX(70X13) F AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX-B,Front,TATA,2515,2.78232E+11,1910,1400,0,0,0,1910,1400,0,0,0,1,3,,10.69,63.23,,,,,,
EML Rear GALAXY/HCV IA 208230 M/L,71201,AMI,EML Rear GALAXY/HCV IA 208230 M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,EICHER,EICHER,IA208230,2240,1640,0,0,0,2240,1640,0,0,0,1,3,,11.94,62.44,,,,,,
TML WORK TRUCK Front LPK 2528 (6X4) 5019 3210 0106 5/L,343105,AMI,TML WORK TRUCK Front LPK 2528 (6X4) 5019 3210 0106 5/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,5/L,Front,TATA,2528,5.01932E+11,5770,4230,0,0,0,5770,4230,0,0,0,1,3,,21.35,51.65,,,,,,
TATA EMRI AMBULANCE RR PARA 551 AUX-A,296231,AMI,TATA EMRI AMBULANCE RR PARA 551 AUX-A,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,LP,AUXILLIARY,LOOSE LEAF,AUX-A,Rear,TATA,OTHERS,5.51232E+11,2140,1570,0,0,0,2140,1570,0,0,0,1,3,,8.36,42.72,,,,,,
TATA  ACE DICOR (RR) 4/L,325204,AMI,TATA  ACE DICOR (RR) 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,4/L,Rear,TATA,ACE,2.82932E+11,300,220,0,0,0,300,220,0,0,0,1,3,,1.26,15.75,,,,,,
TATA YI 10.4 TON TRUCK Rear M/L 5507 3240 0148,687201,AMI,TATA YI 10.4 TON TRUCK Rear M/L 5507 3240 0148,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,TATA,OTHERS,5.50732E+11,2880,2110,0,0,0,2880,2110,0,0,0,1,3,,9.008,62.6,,,,,,
TATA 1516/2416 (F) 8/L,193108,AMI,TATA 1516/2416 (F) 8/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,8/L,Front,TATA,1516,2.57632E+11,1050,770,0,0,0,1050,770,0,0,0,1,3,,4.77,35.83,,,,,,
8X4C SECOND Front AXLE PARABOLIC SPRING ASSY 4A,651134,AMI,8X4C SECOND Front AXLE PARABOLIC SPRING ASSY 4A,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,AUXILLIARY,LOOSE LEAF,AUX 4A,Front,DICV,DICV,A4003201001,5480,4020,0,0,0,5480,4020,0,0,0,1,3,,19.72,45.08,,,,,,
EICHER MCV HL 4189 AUX-B,68332,AMI,EICHER MCV HL 4189 AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX-B,Helper,EICHER,EICHER,IA204189,770,570,0,0,0,770,570,0,0,0,1,3,,4.198,35.43,,,,,,
AMW FR PART NO 251000016 AUX-A,288131,AMI,AMW FR PART NO 251000016 AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX-A,Front,AMW,AMW,251000016,1020,740,0,0,0,1020,740,0,0,0,1,3,,15.5,65.94,,,,,,
LEY.TUS. NM C.H. H 4/L,41604,AMI,LEY.TUS. NM C.H. H 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,4/L,Helper,ASHOK LEYLAND,OTHERS,DEPE11602087,820,600,0,0,0,820,600,0,0,0,1,3,,4.558,29.84,,,,,,
TATA  407 TURBO (RR) 7/L 2651 3241 0121 7/L,16207,AMI,TATA  407 TURBO (RR) 7/L 2651 3241 0121 7/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,7/L,Rear,TATA,407,265132410108/265132410121,740,540,0,0,0,740,540,0,0,0,1,3,,3.2,21.14,,,,,,
TRAILER SPRING MAIN Rear 8/L,351208,AMI,TRAILER SPRING MAIN Rear 8/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,8/L,Rear,TRAILER,TRAILER,DCPE11602421,980,720,0,0,0,980,720,0,0,0,1,3,,4.831,18.03,,,,,,
MFTPL 16 TON/MAAN (T) Front 7/L,265107,AMI,MFTPL 16 TON/MAAN (T) Front 7/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,7/L,Front,MFTPL,OTHERS,64.43402.0001/0007,1260,920,0,0,0,1260,920,0,0,0,1,3,,7,31.1,,,,,,
AMW 1618 Rear 251 00 0052 2/L,333202,AMI,AMW 1618 Rear 251 00 0052 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,2/L,Rear,AMW,1618,251000052,3470,2540,0,0,0,3470,2540,0,0,0,1,3,,16.97,75.39,,,,,,
EICHER TERRA 16T FR - Aux-A,740131,AMI,EICHER TERRA 16T FR - Aux-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,Aux-A,Front,EICHER,EICHER,IC329600,2970,2180,0,0,0,2970,2180,0,0,0,1,3,,16.18,60.43,,,,,,
TATA 1109 Front 4/L,26104,AMI,TATA 1109 Front 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,4/L,Front,TATA,1109,215332100101N/215332100102N,1180,870,0,0,0,1180,870,0,0,0,1,3,,6.536,45.43,,,,,,
AMW 1618 Rear 251 00 0052 M/L,333201,AMI,AMW 1618 Rear 251 00 0052 M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,AMW,1618,251000052,4060,2970,0,0,0,4060,2970,0,0,0,1,3,,17.01,75.59,,,,,,
TATA LP 312 (R) 10/L,24210,AMI,TATA LP 312 (R) 10/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,10/L,Rear,TATA,LP 312,3123203808,700,510,0,0,0,700,510,0,0,0,1,3,,3.67,27.56,,,,,,
M&M TOURISTER Front 0401AA0560N 5/L,340105,AMI,M&M TOURISTER Front 0401AA0560N 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,5/L,Front,MAHINDRA,OTHERS,0401AA0560N,610,440,0,0,0,610,440,0,0,0,1,3,,2.59,21.65,,,,,,
M&M SCORPIO NM SOFTER(R) 3/L,027203N,AMI,M&M SCORPIO NM SOFTER(R) 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,MUV,LOOSE LEAF,LOOSE LEAF,3/L,Rear,MAHINDRA,SCORPIO,0402AA0060N,470,340,0,0,0,470,340,0,0,0,1,3,,2.24,27.95,,,,,,
MFTPL SOLO AXLE/MAAN (T) Rear AUX-B,265232,AMI,MFTPL SOLO AXLE/MAAN (T) Rear AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX-B,Rear,MFTPL,OTHERS,64.43702.0001,2480,1820,0,0,0,2480,1820,0,0,0,1,3,,13.87,61.65,,,,,,
TML 7.5T TRUCK Rear V.E. C & P (R ) M/L(WITH SIL.BLOCK BUS,633201,AMI,TML 7.5T TRUCK Rear V.E. C & P (R ) M/L(WITH SIL.BLOCK BUS,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L(WITH SIL.BLOCK BUS,Rear,TATA,OTHERS,5.50632E+11,2880,2110,0,0,0,2880,2110,0,0,0,1,3,,12.66,63.39,,,,,,
YORK TRAILER ASSY PART NO:77071 3/L SPL WITHOUT BEND,327203N,AMI,YORK TRAILER ASSY PART NO:77071 3/L SPL WITHOUT BEND,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,3/L,Rear,YORK MOTORS,YORK TRAILER,770710,1710,1250,0,0,0,1710,1250,0,0,0,1,3,,10.44,45.67,,,,,,
TATA 609/709(T) R 264432400103 AUX-B,203232N,AMI,TATA 609/709(T) R 264432400103 AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,LOOSE LEAF,AUX-B,Rear,TATA,609,2.64432E+11,1170,850,0,0,0,1170,850,0,0,0,1,3,,6.19,42.99,,,,,,
4X2 Rear SPRING ASSY M/L,702201,AMI,4X2 Rear SPRING ASSY M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,DAIMLER,OTHERS,A4003200308,7240,5310,0,0,0,7240,5310,0,0,0,1,3,,36.711,90.55,,,,,,
TATA LP 712 Front (PARA.) Aux-A,711131,AMI,TATA LP 712 Front (PARA.) Aux-A,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,AUXILLIARY,LOOSE LEAF,AUX-A,Front,TATA,OTHERS,264232100112N/0113N,2500,1830,0,0,0,2500,1830,0,0,0,1,3,,9.878,45.28,,,,,,
M&M GENIO Rear DRG. NO. 042AAA02630N 2/L,353202,AMI,M&M GENIO Rear DRG. NO. 042AAA02630N 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,2/L,Rear,MAHINDRA,GENIO,0402AAA02630N,1300,950,0,0,0,1300,950,0,0,0,1,3,,6.58,49.61,,,,,,
M&M MAXI Front 6/L,264106,AMI,M&M MAXI Front 6/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,6/L,Front,MAHINDRA,MAXI,0402AA1010N/0402,150,110,0,0,0,150,110,0,0,0,1,3,,0.69,11.73,,,,,,
EICHER MCV FR (11.10) 3/L,068103N,AMI,EICHER MCV FR (11.10) 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,3/L,Front,EICHER,EICHER,IA204101,970,710,0,0,0,970,710,0,0,0,1,3,,5.208,43.5,,,,,,
M&M TOURISTER Rear S-93431011 - 15 SEATER M/L,339201,AMI,M&M TOURISTER Rear S-93431011 - 15 SEATER M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,MAHINDRA,OTHERS,S-93431011,1080,790,0,0,0,1080,790,0,0,0,1,3,,5.37,55.12,,,,,,
DICV (LDT) Rear 12 TON FUSO DESIGN A400 320 06 06 AUX-A,463231,AMI,DICV (LDT) Rear 12 TON FUSO DESIGN A400 320 06 06 AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX-A,Rear,DICV,DICV,A4003200606,1640,1200,0,0,0,1640,1200,0,0,0,1,3,,8.09,51.18,,,,,,
MARUTI GYPSY Rear 4/L,173204,AMI,MARUTI GYPSY Rear 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,4/L,Rear,MARUTI,GYPSY,41310M80310/20,580,420,0,0,0,580,420,0,0,0,1,3,,2.16,17.72,,,,,,
TAVERA (R) 5/L,3205,AMI,TAVERA (R) 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,MUV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,TOYOTA,OTHERS,97599716,820,600,0,0,0,820,600,0,0,0,1,3,,3.16,21.97,,,,,,
ARMADA 084818 NEW (F) ASSY,15100,AMI,ARMADA 084818 NEW (F) ASSY,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,ASSEMBLY,LOOSE LEAF,ASSEMBLY,Front,MAHINDRA,ARMADA,84818,2640,1930,0,0,0,2640,1930,0,0,0,1,3,,10.4,0,,,,,,
TATA 1109 LPT EX RR V.E 5/L,026205N,AMI,TATA 1109 LPT EX RR V.E 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,TATA,1109,215332400105/0103,1610,1180,0,0,0,1610,1180,0,0,0,1,3,,8.86,33.07,,,,,,
EICHER SHAKTI (H) AUX-B,49332,AMI,EICHER SHAKTI (H) AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,LOOSE LEAF,AUX-B,Helper,EICHER,SHAKTI,IB007505,760,560,0,0,0,760,560,0,0,0,1,3,,3.5,29.21,,,,,,
EICHER MCV FR (11.10) 7/L,068107N,AMI,EICHER MCV FR (11.10) 7/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,7/L,Front,EICHER,EICHER,IA204101,550,400,0,0,0,550,400,0,0,0,1,3,,2.898,24.21,,,,,,
EICHER MCV HL (11.10) M/L,068301N,AMI,EICHER MCV HL (11.10) M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Helper,EICHER,EICHER,IA204189,880,640,0,0,0,880,640,0,0,0,1,3,,4.76,39.76,,,,,,
CABIN SPRING 8 LVS ASSY/8 LVS,090400E,AMI,CABIN SPRING 8 LVS ASSY/8 LVS,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,ASSEMBLY,LOOSE LEAF,ASSEMBLY/8 LVS,Rear,TATA,CABIN SRING,3.50589E+11,2200,1610,0,0,0,2200,1610,0,0,0,1,3,,8.94,0,,,,,,
LEY TRAILER SPRING 14 LEAVES M/L,1015201,AMI,LEY TRAILER SPRING 14 LEAVES M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,ASHOK LEYLAND,TRAILER,,1210,890,0,0,0,1210,890,0,0,0,1,3,,7.72,44.96,,,,,,
TATA SFC-609 (T) (H) 4/L,203304,AMI,TATA SFC-609 (T) (H) 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,4/L,Helper,TATA,609,2.64432E+11,410,300,0,0,0,410,300,0,0,0,1,3,,1.96,21.1,,,,,,
"WEVELLER -4"" Front",276101,AMI,"WEVELLER -4"" Front",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L(WITH END CLIPS),Front,ASHOK LEYLAND,WEVELLER,F4506910,3170,2320,0,0,0,3170,2320,0,0,0,1,3,,13.52,61.93,,,,,,
"WEVELLER -4"" Front",276102,AMI,"WEVELLER -4"" Front",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,2/L(WITH END CLIPS),Front,ASHOK LEYLAND,WEVELLER,F4506910,3170,2320,0,0,0,3170,2320,0,0,0,1,3,,13.52,61.93,,,,,,
"WEVELLER -4"" Rear (F4507010) 2/L",276202,AMI,"WEVELLER -4"" Rear (F4507010) 2/L",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,2/L(WITH END CLIPS),Rear,ASHOK LEYLAND,WEVELLER,F4507010/FD300215,3760,2750,0,0,0,3760,2750,0,0,0,1,3,,15.74,61.89,,,,,,
"WEVELLER -4"" Rear (F4507010) 5/L",276205,AMI,"WEVELLER -4"" Rear (F4507010) 5/L",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,ASHOK LEYLAND,WEVELLER,F4507010/FD300215,2380,1740,0,0,0,2380,1740,0,0,0,1,3,,10.76,42.28,,,,,,
"WEVELLER -4"" Rear (F4507010) 6/L",276206,AMI,"WEVELLER -4"" Rear (F4507010) 6/L",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,6/L,Rear,ASHOK LEYLAND,WEVELLER,F4507010/FD300215,2050,1500,0,0,0,2050,1500,0,0,0,1,3,,9.26,36.38,,,,,,
"WEVELLER -4"" Rear (F4507010) 8/L",276208,AMI,"WEVELLER -4"" Rear (F4507010) 8/L",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,8/L,Rear,ASHOK LEYLAND,WEVELLER,F4507010/FD300215,1390,1020,0,0,0,1390,1020,0,0,0,1,3,,6.25,24.57,,,,,,
"WEVELLER -4"" Rear (F4507010) 9/L",276209,AMI,"WEVELLER -4"" Rear (F4507010) 9/L",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,9/L,Rear,ASHOK LEYLAND,WEVELLER,F4507010/FD300215,1050,770,0,0,0,1050,770,0,0,0,1,3,,4.75,18.66,,,,,,
"LL VIKING Front 222"" WB PART NO. F4507710 2/L",455102,AMI,"LL VIKING Front 222"" WB PART NO. F4507710 2/L",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,2/L,Front,ASHOK LEYLAND,VIKING,F4507710,2320,1700,0,0,0,2320,1700,0,0,0,1,3,,11.54,61.89,,,,,,
